time,t_speed,t_yd,throttle,brake,steer,c_speed,c_yd
1520867673.716179,11.11111111111111,0.0,0.25,0,0.0,2.5913545328000003e-07,0.0
1520867673.735236,11.11111111111111,0.0,0.4375,0,0.0,2.5913545328000003e-07,0.0
1520867673.75513,11.11111111111111,0.0,0.578125,0,0.0,2.5913545328000003e-07,0.0
1520867673.775127,11.11111111111111,0.0,0.68359375,0,0.0,0.0174619993152,0.001352225523100949
1520867673.795199,11.11111111111111,0.0,0.7626953125,0,0.0,0.0118186289408,0.008646190704277239
1520867673.815183,11.11111111111111,0.0,0.822021484375,0,0.0,0.024872456224,0.005054881883815389
1520867673.835203,11.11111111111111,0.0,0.86651611328125,0,0.0,0.103907787104,-0.0003696751938951852
1520867673.855219,11.11111111111111,0.0,0.8998870849609375,0,0.0,0.151058973472,-0.002537826335114407
1520867673.875232,11.11111111111111,0.0,0.9249153137207031,0,0.0,0.151058973472,-0.002537826335114407
1520867673.895243,11.11111111111111,0.0,0.9436864852905273,0,0.0,0.151058973472,-0.002537826335114407
1520867673.915275,11.11111111111111,0.0,0.9577648639678955,0,0.0,0.151058973472,-0.002537826335114407
1520867673.935165,11.11111111111111,0.0,0.9683236479759216,0,0.0,0.151058973472,-0.002537826335114407
1520867673.955164,11.11111111111111,0.0,0.9762427359819412,0,0.0,0.445852706464,-0.01101204366601941
1520867673.975153,11.11111111111111,0.0,0.9821820519864559,0,0.0,0.70584173792,0.010455008667220947
1520867673.99512,11.11111111111111,0.0,0.9866365389898419,0,0.0,0.8925466528,0.004415242353019107
1520867674.015162,11.11111111111111,0.0,0.9899774042423815,0,0.0,0.8925466528,0.0
1520867674.035288,11.11111111111111,0.0,0.9924830531817861,0,0.0,0.98454435552,0.0010263809115314442
1520867674.0552,11.11111111111111,0.0,0.9943622898863396,0,0.0,0.98454435552,0.0010263809115314442
1520867674.075235,11.11111111111111,0.0,0.9957717174147547,0,0.0,1.183493696,0.00044352614891562947
1520867674.095214,11.11111111111111,0.0,0.996828788061066,0,0.0,1.183493696,0.00044352614891562947
1520867674.115161,11.11111111111111,0.0,0.9976215910457995,0,0.0,1.48946441248,6.756291151869978e-05
1520867674.135209,11.11111111111111,0.0,0.9982161932843496,0,0.0,1.48946441248,6.756291151869978e-05
1520867674.155228,11.11111111111111,0.0,0.9986621449632622,0,0.0,1.48946441248,6.756291151869978e-05
1520867674.17521,11.11111111111111,0.0,0.9989966087224467,0,0.0,1.48946441248,0.0
1520867674.195194,11.11111111111111,0.0,0.999247456541835,0,0.0,1.48946441248,0.0
1520867674.215171,11.11111111111111,0.0,0.9994355924063762,0,0.0,1.59405344384,5.680096058204359e-05
1520867674.235237,11.11111111111111,0.0,0.9995766943047821,0,0.0,1.9069613270399999,9.233164351837043e-05
1520867674.255222,11.11111111111111,0.0,0.9996825207285867,0,0.0,2.1143038435199997,-0.00025338217776098667
1520867674.275187,11.11111111111111,0.0,0.99976189054644,0,0.0,2.21781819072,-0.0001383021930214179
1520867674.295193,11.11111111111111,0.0,0.99982141790983,0,0.0,2.32115059264,-7.338708465581527e-05
1520867674.315196,11.11111111111111,0.0,0.9998660634323725,0,0.0,2.4243050726399997,-0.00010308038592028113
1520867674.335145,11.11111111111111,0.0,0.9998995475742793,0,0.0,2.4243050726399997,-0.00010308038592028113
1520867674.35518,11.11111111111111,0.0,0.9999246606807095,0,0.0,2.52726553728,-5.725372713928788e-05
1520867674.375181,11.11111111111111,0.0,0.9999434955105322,0,0.0,2.73259592672,-0.000232549036833026
1520867674.395212,11.11111111111111,0.0,0.9999576216328991,0,0.0,2.73259592672,-0.000232549036833026
1520867674.41513,11.11111111111111,0.0,0.9999682162246744,0,0.0,2.9371301379199997,-9.751103936954591e-05
1520867674.435202,11.11111111111111,0.0,0.9999761621685057,0,0.0,3.0390963855999997,-0.00040167934626195184
1520867674.455212,11.11111111111111,0.0,0.9999821216263793,0,0.0,3.14086638272,-0.00010891020716196018
1520867674.475235,11.11111111111111,0.0,0.9999865912197845,0,0.0,3.24243834112,-0.00010362800163260335
1520867674.495172,11.11111111111111,0.0,0.9999899434148384,0,0.0,3.24243834112,-0.00010362800163260335
1520867674.515199,11.11111111111111,0.0,0.9999924575611288,0,0.0,3.44498769472,0.0
1520867674.535223,11.11111111111111,0.0,0.9999943431708466,0,0.0,3.44498769472,0.0
1520867674.555102,11.11111111111111,0.0,0.999995757378135,0,0.0,3.54596240768,-5.1117014043365346e-05
1520867674.575137,11.11111111111111,0.0,0.9999968180336012,0,0.0,3.74732531712,-0.0007176389842009262
1520867674.595167,11.11111111111111,0.0,0.9999976135252009,0,0.0,3.8477059139199996,-0.00010604960192248985
